          R (AU)    Sigma_totale           Omega            Visc            Tmid            Teff              Cs               H             Rho        Pressure            Pbar
   0.2408080E-01   0.6201164E+04   0.8911450E-01   0.2273649E+16   0.1211156E+06   0.5308036E+04   0.2138894E+05   0.2691317E-02   0.7732005E-07   0.1126525E+06   0.1126525E+00
   0.2499503E-01   0.8731537E+04   0.7968926E-01   0.3199419E+16   0.1611660E+06   0.6124044E+04   0.2467323E+05   0.3283038E-02   0.8924802E-07   0.1730298E+06   0.1730298E+00
   0.2594398E-01   0.1057476E+05   0.7126088E-01   0.3925818E+16   0.1870071E+06   0.6575232E+04   0.2657775E+05   0.3739749E-02   0.9488810E-07   0.2134610E+06   0.2134610E+00
   0.2692895E-01   0.1204100E+05   0.6372394E-01   0.4554457E+16   0.2051589E+06   0.6854864E+04   0.2783776E+05   0.4142217E-02   0.9754688E-07   0.2407423E+06   0.2407423E+00
   0.2795132E-01   0.1325498E+05   0.5698414E-01   0.5123914E+16   0.2182636E+06   0.7032058E+04   0.2871308E+05   0.4518067E-02   0.9844877E-07   0.2584880E+06   0.2584880E+00
   0.2901250E-01   0.1428288E+05   0.5095719E-01   0.5653674E+16   0.2277382E+06   0.7140637E+04   0.2932967E+05   0.4880386E-02   0.9820765E-07   0.2690481E+06   0.2690481E+00
   0.3011397E-01   0.1516527E+05   0.4556768E-01   0.6155162E+16   0.2344609E+06   0.7200057E+04   0.2975941E+05   0.5236556E-02   0.9718254E-07   0.2740989E+06   0.2740989E+00
   0.3125726E-01   0.1592944E+05   0.4074819E-01   0.6635748E+16   0.2390268E+06   0.7222695E+04   0.3004778E+05   0.5591239E-02   0.9560401E-07   0.2748978E+06   0.2748978E+00
   0.3244395E-01   0.1659489E+05   0.3643843E-01   0.7100505E+16   0.2418642E+06   0.7216985E+04   0.3022560E+05   0.5947643E-02   0.9362963E-07   0.2724166E+06   0.2724166E+00
   0.3367570E-01   0.1717627E+05   0.3258451E-01   0.7553103E+16   0.2432951E+06   0.7188970E+04   0.3031488E+05   0.6308123E-02   0.9137188E-07   0.2674205E+06   0.2674205E+00
   0.3495421E-01   0.1768493E+05   0.2913819E-01   0.7996296E+16   0.2435693E+06   0.7143144E+04   0.3033196E+05   0.6674504E-02   0.8891359E-07   0.2605190E+06   0.2605190E+00
   0.3628126E-01   0.1812994E+05   0.2605637E-01   0.8432220E+16   0.2428854E+06   0.7082950E+04   0.3028934E+05   0.7048272E-02   0.8631722E-07   0.2522014E+06   0.2522014E+00
   0.3765869E-01   0.1851870E+05   0.2330051E-01   0.8862569E+16   0.2414042E+06   0.7011088E+04   0.3019684E+05   0.7430682E-02   0.8363065E-07   0.2428617E+06   0.2428617E+00
   0.3908841E-01   0.1885735E+05   0.2083612E-01   0.9288719E+16   0.2392581E+06   0.6929714E+04   0.3006232E+05   0.7822830E-02   0.8089107E-07   0.2328177E+06   0.2328177E+00
   0.4057242E-01   0.1915110E+05   0.1863238E-01   0.9711805E+16   0.2365574E+06   0.6840581E+04   0.2989217E+05   0.8225705E-02   0.7812758E-07   0.2223257E+06   0.2223257E+00
